iter	Passed	Remaining
0	1	154
1	2	129
2	3	124
3	4	119
4	6	114
5	7	112
6	8	109
7	9	105
8	10	105
9	11	102
10	12	99
11	13	96
12	14	98
13	15	95
14	16	94
15	17	92
16	18	91
17	19	90
18	20	89
19	22	88
20	23	87
21	24	86
22	25	84
23	26	84
24	27	83
25	28	82
26	29	80
27	31	80
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	42	66
39	43	65
40	44	64
41	45	63
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	54	52
51	56	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	67	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
